Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"Silent Cinema Presentations, Inc.",176 West 87th Street #1D,New York,NY,10024,(212) 595-5655,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Silver-Brown Foundation,"11 Sterling Place, Suite 5C",Brooklyn,NY,11217,(917) 482-8404,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
Sinfonietta of Riverdale,P.O. Box 177,Riverdale,NY,10471,(917) 689-1211,Music,Bronx Council District #11,Bronx Community Board #8,Bronx
Sing for Hope,"548 Broadway, Third Floor",New York,NY,10012,(212) 966-5955,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Brooklyn
"Singing Winds, Inc.",625 Greenwood Avenue,Brooklyn,NY,11218,(718) 564-5983,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #12,Brooklyn
Siren - protectors of the Rainforest,90 Monroe Street,New York City,NY,11216,(917) 455-0719,"Multi-Discipline, Performing",Brooklyn Council District #36,Brooklyn Community Board #3,Manhattan
Sisters With Purpose Inc.,1310 Pennsylvania Avenue,Brooklyn,NY,11239,(646) 460-4101,Dance,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"Six Figures, Inc.","P.O. Box 88, Planetarium Station",New York,NY,10024,(212) 854-0179,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Skyscraper Museum,39 Battery Place,New York,NY,10280,(212) 945-6324,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Slice Literary, Inc.",PO Box 659,New York,NY,10014,(848) 228-6077,Literature,Manhattan Council District #3,Manhattan Community Board #2,Brooklyn
Slideluck Potshow,"197 East 4th Street, Apt. 2",New York,NY,10009,(917) 804-2767,Photography,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Smack Mellon Studios, Inc.",92 Plymouth Street,Brooklyn,NY,11201,(718) 834-8761,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Smith Street Stage, Inc.",125 Ocean Parkway,Brooklyn,NY,11218,(540) 230-8670,Theater,Brooklyn Council District #39,Brooklyn Community Board #12,Brooklyn
Smithsonian National Museum of the American Indian,"232 3rd Street, Apt. D101",Brooklyn,NY,11215,(212) 277-8021,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Snug Harbor Cultural Center & Botanical Garden, Inc.",1000 Richmond Terrace,Staten Island,NY,10301,(718) 448-2500,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
So Percussion,20 Grand Avenue,Brooklyn,NY,11205,(718) 869-9358,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
Society for the Preservation and Encouragement of Barber Shop Quartet,"PO Box 522, Cooper Union Station",New York,NY,10276,(631) 221-2911,Music,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
Society for the Preservation of Weeksville & Bed-Stuyvesant History,158 Buffalo Avenue,Brooklyn,NY,11213,(718) 756-5250,Humanities,Brooklyn Council District #41,Brooklyn Community Board #8,Brooklyn
"Society of Illustrators, Inc.",128 East 63rd Street,New York,NY,10065,(212) 838-2560,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Society of the Educational Arts, Inc.","107 Suffolk Street, 2nd Floor",New York,NY,10002,(212) 529-1545,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Society of the Third Street Music School Settlement, Inc.",235 East 11th Street,New York,NY,10003,(212) 777-3240 x124,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Socrates Sculpture Park, Inc.",P.O. Box 6259,Long Island City,NY,11106,(718) 956-1819 x15,Visual Arts,Queens Council District #26,Queens Community Board #1,Queens
"Soho 20 Artists, Inc.",548 West 28th Street,New York,NY,10001,(212) 367-8994,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Soho Repertory Theatre, Inc.",401 Broadway,New York,NY,10013,(212) 941-8632 x201,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Soho Think Tank, Inc.",154 Christopher Street,New York,NY,10014,(212) 966-4844,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Sol Zim Jewish Enrichment Music Foundation, Inc.",85-39 213th Street,Queens Village,NY,11427,(917) 592-0019,Music,Queens Council District #23,Queens Community Board #13,Queens
"Solo Foundation, Inc.","230 West 38th Street, 9th Floor",New York,NY,10018,(212) 643-2036,New Media,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Solomon R. Guggenheim Foundation,1071 Fifth Avenue,New York,NY,10128,(212) 423-3688,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Songs of Love Foundation,P.O. Box 750809,Forest Hills,NY,11375,(718) 441-5422,Music,Queens Council District #29,Queens Community Board #6,Queens
"Songs of Solomon: An Inspirational Ensemble, Inc.","151 West 136th Street, 2nd floor",New York,NY,10030,(212) 281-2674,Music,Manhattan Council District #10,Manhattan Community Board #10,Manhattan
"Sonnet Repertory Theatre, Inc.",P.O. Box 772,New York,NY,10108,(917) 703-3188,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Sonora House, Inc.",PO Box 823,New York,NY,10108,(212) 561-0283,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Sons of the Revolution in the State of New York, Inc.",54 Pearl Street,New York,NY,10004,(212) 425-1778 x30,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
South Asian Cultural Preservation and Education Center,115 John Street,Staten Island,NY,10302,(718) 874-8137,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"South Asian International Film Festival, Inc.",114 Franklin Street,New York,NY,10013,(917) 902-6706,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
South Asian Women's Creative Collective,110-112 W 27th Street,New York,NY,10001,(309) 750-6354,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
South Bronx Community Action Theatre,"778 Forest Avenue, Suite 407",Bronx,NY,10456,(718) 829-5730,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #17,Bronx Community Board #1,Bronx
South Street Seaport Museum,12 Fulton Street,New York,NY,10038,(212) 748-8770,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
South Wing Theatre Company,"221 East 18th Street, Ste. 3",New York,NY,11226,(212) 647-0202,Theater,Brooklyn Council District #40,Brooklyn Community Board #14,Brooklyn
South of the Navy Yard Artists,P.O. Box 381082,Brooklyn,NY,11238,(718) 857-5696,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Southern Queens Park Association,177-01 Baisley Boulevard,Jamaica,NY,11434,(718) 276-4630 x146,"Multi-Discipline, Performing",Queens Council District #27,Queens Community Board #12,Queens
Southside United Housing Development Fund Corp,213 South 4th Street,Brooklyn,NY,11211,(718) 387-3600,Museum,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"Spaceworks NYC, Inc.","540 President Street, 2E",Brooklyn,NY,11215,(718) 408-8755,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Spanish Dance Arts Company, Inc.","4 West 43rd Street, Ste. 608",New York,NY,10036,(212) 736-4499,Dance,Manhattan Council District #1,Manhattan Community Board #5,Manhattan
"Spanish Theatre Repertory Company, Ltd.",138 East 27th Street,New York,NY,10016,(212) 225-9934,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Spanish-English Ensemble Theatre, Inc.",P.O. Box 1200,New York,NY,10003,(212) 598-4320,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Speculum Musicae, Inc.","255 West 88th St., Apt. 10C",New York,NY,10024,(212) 799-2227,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Sphinx Organization, Inc.","2214 Frederick Douglass Boulevard,",New York,NY,10026,(313) 877-9100 x703,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Spiderwoman Theater Workshop, Inc.",333 DeGraw Street,Brooklyn,NY,11231,(718) 797-4262,Theater,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Spoke the Hub Dancing, Inc.",748 Union Street,Brooklyn,NY,11215,(718) 408-3234,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"St. Ann's Warehouse, Inc.",45 Water Street,Brooklyn,NY,11201,(718) 834-8794,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"St. Augustine's Project, Inc",333 Madison Street,New York,NY,10002,(212) 673-5220,,,,Manhattan
"St. Cecilia Club, Inc.",PO Box 421 FDR Station,NEW YORK,NY,10150,(646) 638-2535,Music,Manhattan Council District #5,Manhattan Community Board #6,Manhattan
"St. George Theatre Restoration, Inc.",35 Hyatt Street,Staten Island,NY,10301,(718) 442-2900,"Multi-Discipl, Perf & Non-Perf",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
St. George's Choral Society Since 1817,P.O. Box 3932,New York,NY,10163,(917) 685-9108,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"St. Luke's Chamber Ensemble, Inc.","330 West 42nd Street, 9th Floor",New York,NY,10036,(212) 594-6100,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
St. Mark's Historic Landmark Fund,"232 East 11th Street, 2nd Floor",New York,NY,10003,(212) 228-2781,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Staten Island
St. Nicks Alliance,2 Kingsland Avenue,Brooklyn,NY,11211,(718) 388-5454,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
St. Paul Community Baptist Church,859 Hendrix Street,Brooklyn,NY,11207,(718) 257-1300 x123,Theater,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"St. Raymond Community Outreach, Inc.","71 Metropolitan Oval, 2nd Floor",Bronx,NY,10462,(718) 824-0353 x12,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #18,Bronx Community Board #9,Bronx
Stage Directors and Choreographers Workshop Foundation,"321 West 44th Street, 8th Floor",New York,NY,10036,(212) 391-1070 x233,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Stages of Learning, Inc.",c/o QTIP,Flushing,NY,11352,(646) 209-3641,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Stages on the Sound, Inc.",P.O. Box 24371,Brooklyn,NY,11202,(646) 535-3154,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn
"Standby Program, Inc.",14362 Sanford Avenue,Flushing,NY,11355,(212) 206-7858,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Queens
Staret...The Directors Company,311 W. 43rd St,New York,NY,10036,(212) 246-5877,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Statement Arts,2 River Terrace,New York,NY,10282,(800) 804-0081,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #12,Manhattan
"Staten Island Ballet Theater, Inc.",3081 Richmond Road,Staten Island,NY,10306,(718) 980-0500,Dance,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island
"Staten Island Chamber Music Players, Inc.",27 Storer Avenue,Staten Island,NY,10309,(718) 356-2094,Music,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island
Staten Island Children's Museum,"1000 Richmond Terrace, Building M",Staten Island,NY,10301,(718) 273-2060,Museum,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
122 Community Center Inc.,150 First Avenue,New York,NY,10009,(917) 864-5050,,Manhattan Council District #2,,Manhattan
"13 Playwrights, Inc.","195 Willoughby Avenue, #402",Brooklyn,NY,11205,(917) 886-6545,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"1687, Inc.",PO Box 1000,New York,NY,10014,(212) 252-3499,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
18 Mai Committee,"832 Franklin Avenue, PMB337",Brooklyn,NY,11225,(718) 270-6935,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,(347) 921-4426,Visual Arts,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"3 Graces Theater Co., Inc.",P.O. Box 442,New York,NY,10163,(917) 385-0332,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
3 Legged Dog,80 Greenwich Street,New York,NY,10006,(212) 645-0374,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"42nd Street Workshop, Inc.","312 West 36th Street, 4th Floor",New York,NY,10018,(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"4heads, Inc.",1022 Pacific St.,Brooklyn,NY,11238,(412) 956-3330,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Manhattan
"52nd Street Project, Inc.",789 Tenth Avenue,New York,NY,10019,(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"7 Loaves, Inc.","239 East 5th Street, #1D",New York,NY,10003,(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"826NYC, Inc.",372 Fifth Avenue,Brooklyn,NY,11215,(718) 499-9884,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"A Better Jamaica, Inc.",114-73 178th Street,Jamaica,NY,11434,(718) 657-2605,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens
A Blade of Grass Fund,"50 West 17th Street, 12th Floor",New York,NY,10011,(646) 358-1164,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
A Gathering of the Tribes,285 East 3rd Street,New York,NY,10009,(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"A Public Space Literary Projects, Inc.",323 Dean Street,Brooklyn,NY,11217,(718) 858-8067,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
ABAKUA Afro-Latin Dance Company,"250 Ninth Street, 3rd Floor",Brooklyn,NY,11215,(917) 570-6089,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
ABC No Rio,156 Rivington Street,New York,NY,10002,(212) 254-3697,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
ACTIONPLAY INCORPORATED,417 Myrtle Ave. #39,Brooklyn,NY,11205,(844) 228-7529,Film/Video/Audio,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"AFC New York, Inc.",20 Jay Street,Brooklyn,NY,11201,(718) 753-3464,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #3,Brooklyn
"AHL Foundation, Inc.","420 West 23rd Street, #7A",New York,NY,10011,(516) 983-3935,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"AKTINA Productions, Inc.",23-50 27th Street,Astoria,NY,11105,(718) 545-1151,Music,Queens Council District #22,Queens Community Board #1,Queens
ANDHOW! Theater Company Inc.,"138 South Oxford Street, Ste. 4C",Brooklyn,NY,11217,(718) 398-3690,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"ARC on 4th Street, Inc.",59 East 4th Street,New York,NY,10003,(212) 477-5340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,,Manhattan
ARTs East New York Inc.,568 Jerome St.,Brooklyn,NY,11207,(917) 756-0133,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"ASDT, Inc. - The American Spanish Dance Theatre",c/o Lotus Music and Dance,New York,NY,10001,(212) 674-6725,Dance,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
Aaccapella Light Sound Organization Plus,851A Prospect Avenue,Bronx,NY,10459,(646) 453-3535,"Multi-Discipline, Non-Perform",,Brooklyn Community Board #2,Brooklyn
"Aaron Davis Hall, Inc.",150 Convent Avenue,New York,NY,10031,(212) 281-9240,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
Abingdon Theatre Company,"312 West 36th Street, 6th Floor",New York,NY,10018,(212) 868-2055 x224,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Abraham Lincoln Brigade Archives,"799 Broadway, Ste. 341",New York,NY,10003,(212) 674-5398,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"AbunDance Academy of the Arts, Inc.",430 Rogers Avenue,Brooklyn,NY,11225,(347) 788-1069,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn
